Time;middletier-jwnhp;Limit;cpu/node_reservation.distinct;cpu/node_utilization.distinct;cpu/usage_rate.count;cfp.distinct {hostname: middletier-jwnhp};cfp.distinct {hostname: middletier-ppdbq};fpm.distinct {hostname: 10.0.11.64};fpm.distinct {hostname: middletier-jwnhp};fpm.distinct {hostname: middletier-ppdbq};test_results.fail_count_elapsed;test_results.fail_count_elapsed
2017-07-27T09:47:03+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:03+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:04+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:04+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:05+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:05+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:06+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:06+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:07+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:07+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:08+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:08+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:09+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:09+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:10+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:10+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:11+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:11+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:12+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:12+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:13+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:13+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:14+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:14+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:15+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:15+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:16+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:16+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:17+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:17+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:18+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:18+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:19+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:19+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:20+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:20+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:47:21+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
