sep=;
Time;95th;50th;25th
2017-04-30T19:30:00.000Z;213716292;81980540;34786489
2017-04-30T19:31:00.000Z;208781874;72814469;29468384
2017-04-30T19:32:00.000Z;200373349;77978467;31042168
2017-04-30T19:33:00.000Z;83172587;1737887;1662612
2017-04-30T19:34:00.000Z;88892521;12444596;6267576
2017-04-30T19:35:00.000Z;108883557;14200359;10622348
2017-04-30T19:36:00.000Z;86016413;16713853;9339881
2017-04-30T19:37:00.000Z;90924606;15481711;11217573
2017-04-30T19:38:00.000Z;85495219;17788877;11180291
2017-04-30T19:39:00.000Z;95654317;21590011;11152853
2017-04-30T19:40:00.000Z;81384896;16983115;10356375
2017-04-30T19:41:00.000Z;96016337;18514140;13503069
2017-04-30T19:42:00.000Z;101390643;16148561;9643115
2017-04-30T19:43:00.000Z;85752937;13998573;9794165
2017-04-30T19:44:00.000Z;92377605;16339398;11753252
2017-04-30T19:45:00.000Z;79161180;14389389;8015528
2017-04-30T19:46:00.000Z;76494007;12904713;8210647
2017-04-30T19:47:00.000Z;76043650;16520643;11633968
2017-04-30T19:48:00.000Z;82726649;16100582;11056659
2017-04-30T19:49:00.000Z;40530670;13048713;8354632
2017-04-30T19:50:00.000Z;59943124;15959229;11436542
2017-04-30T19:51:00.000Z;41292631;15602835;10975271
2017-04-30T19:52:00.000Z;36791173;14699197;9823026
2017-04-30T19:53:00.000Z;41192794;16058975;11473365
2017-04-30T19:54:00.000Z;40795780;17480074;12825886
2017-04-30T19:55:00.000Z;33874053;14729229;10311304
2017-04-30T19:56:00.000Z;34605385;15790431;11684764
2017-04-30T19:57:00.000Z;41185796;16539380;12032154
2017-04-30T19:58:00.000Z;43864909;16190493;11186007
2017-04-30T19:59:00.000Z;42640204;16807983;12354836
2017-04-30T20:00:00.000Z;47200051;17454814;12323191
2017-04-30T20:01:00.000Z;42499831;16545376;11564544
2017-04-30T20:02:00.000Z;50127320;17840169;12937433
2017-04-30T20:03:00.000Z;59400437;18290710;12910138
2017-04-30T20:04:00.000Z;67092356;17883925;12549362
2017-04-30T20:05:00.000Z;92079812;20346382;14266863
2017-04-30T20:06:00.000Z;86902256;21241985;14708022
2017-04-30T20:07:00.000Z;102372236;22657180;14603914
2017-04-30T20:08:00.000Z;97357198;21795265;14792451
2017-04-30T20:09:00.000Z;102062388;24248719;15733316
2017-04-30T20:10:00.000Z;163225011;30686420;16142657
2017-04-30T20:11:00.000Z;200041394;61903757;24169832
2017-04-30T20:12:00.000Z;218009482;78427844;30969307
2017-04-30T20:13:00.000Z;208362572;75297923;29090343
